babylon.js:5104 BJS - [13:10:24]: Babylon.js engine (v2.4.0) launched
(index):305 0--rotateTimer onstart:10:25:88:0.00
(index):252 changePosTimer tick:10:25:189
(index):252 changePosTimer tick:10:25:289
(index):252 changePosTimer tick:10:25:388
(index):252 changePosTimer tick:10:25:488
(index):252 changePosTimer tick:10:25:589
(index):252 changePosTimer tick:10:25:689
(index):252 changePosTimer tick:10:25:788
(index):252 changePosTimer tick:10:25:888
(index):252 changePosTimer tick:10:25:988
(index):252 changePosTimer tick:10:26:88
(index):252 changePosTimer tick:10:26:188
(index):252 changePosTimer tick:10:26:288
(index):252 changePosTimer tick:10:26:388
(index):252 changePosTimer tick:10:26:488
(index):252 changePosTimer tick:10:26:588
(index):252 changePosTimer tick:10:26:688
(index):252 changePosTimer tick:10:26:788
(index):252 changePosTimer tick:10:26:888
(index):252 changePosTimer tick:10:26:988
(index):252 changePosTimer tick:10:27:88
(index):252 changePosTimer tick:10:27:188
(index):252 changePosTimer tick:10:27:288
(index):252 changePosTimer tick:10:27:399
(index):252 changePosTimer tick:10:27:487
(index):252 changePosTimer tick:10:27:668
(index):252 changePosTimer tick:10:27:797
(index):252 changePosTimer tick:10:27:894
(index):252 changePosTimer tick:10:28:5
(index):252 changePosTimer tick:10:28:97
(index):252 changePosTimer tick:10:28:188
(index):252 changePosTimer tick:10:28:288
(index):252 changePosTimer tick:10:28:388
(index):252 changePosTimer tick:10:28:487
(index):252 changePosTimer tick:10:28:588
(index):252 changePosTimer tick:10:28:688
(index):252 changePosTimer tick:10:28:787
(index):252 changePosTimer tick:10:28:905
(index):252 changePosTimer tick:10:28:987
(index):252 changePosTimer tick:10:29:88
(index):252 changePosTimer tick:10:29:188
(index):252 changePosTimer tick:10:29:287
(index):252 changePosTimer tick:10:29:388
(index):252 changePosTimer tick:10:29:488
(index):252 changePosTimer tick:10:29:587
(index):252 changePosTimer tick:10:29:688
(index):252 changePosTimer tick:10:29:788
(index):252 changePosTimer tick:10:29:888
(index):252 changePosTimer tick:10:29:988
(index):252 changePosTimer tick:10:30:87
(index):252 changePosTimer tick:10:30:188
(index):252 changePosTimer tick:10:30:288
(index):252 changePosTimer tick:10:30:388
(index):252 changePosTimer tick:10:30:488
(index):252 changePosTimer tick:10:30:588
(index):252 changePosTimer tick:10:30:687
(index):252 changePosTimer tick:10:30:787
(index):252 changePosTimer tick:10:30:888
(index):252 changePosTimer tick:10:30:988
(index):252 changePosTimer tick:10:31:88
(index):286 2--rotateTimer ontick:10:31:88:209.73
(index):252 changePosTimer tick:10:31:188
(index):252 changePosTimer tick:10:31:287
(index):252 changePosTimer tick:10:31:388
(index):252 changePosTimer tick:10:31:487
(index):252 changePosTimer tick:10:31:587
(index):252 changePosTimer tick:10:31:688
(index):252 changePosTimer tick:10:31:788
(index):252 changePosTimer tick:10:31:888
(index):252 changePosTimer tick:10:31:988
(index):252 changePosTimer tick:10:32:88
(index):252 changePosTimer tick:10:32:188
(index):252 changePosTimer tick:10:32:288
(index):252 changePosTimer tick:10:32:388
(index):252 changePosTimer tick:10:32:488
(index):252 changePosTimer tick:10:32:588
(index):252 changePosTimer tick:10:32:688
(index):252 changePosTimer tick:10:32:788
(index):252 changePosTimer tick:10:32:888
(index):252 changePosTimer tick:10:32:988
(index):252 changePosTimer tick:10:33:88
(index):252 changePosTimer tick:10:33:188
(index):252 changePosTimer tick:10:33:288
(index):252 changePosTimer tick:10:33:388
(index):252 changePosTimer tick:10:33:489
(index):252 changePosTimer tick:10:33:587
(index):252 changePosTimer tick:10:33:687
(index):252 changePosTimer tick:10:33:787
(index):252 changePosTimer tick:10:33:888
(index):252 changePosTimer tick:10:33:988
(index):252 changePosTimer tick:10:34:88
(index):252 changePosTimer tick:10:34:188
(index):252 changePosTimer tick:10:34:288
(index):252 changePosTimer tick:10:34:388
(index):252 changePosTimer tick:10:34:488
(index):252 changePosTimer tick:10:34:588
(index):252 changePosTimer tick:10:34:687
(index):252 changePosTimer tick:10:34:788
(index):252 changePosTimer tick:10:34:888
(index):252 changePosTimer tick:10:34:987
(index):252 changePosTimer tick:10:35:88
(index):252 changePosTimer tick:10:35:188
