(index):305 0--rotateTimer onstart:53:22:81:0.00
(index):252 changePosTimer tick:53:22:181
(index):252 changePosTimer tick:53:22:281
(index):252 changePosTimer tick:53:22:381
(index):252 changePosTimer tick:53:22:481
(index):252 changePosTimer tick:53:22:581
(index):252 changePosTimer tick:53:22:681
(index):252 changePosTimer tick:53:22:781
(index):252 changePosTimer tick:53:22:881
(index):252 changePosTimer tick:53:22:982
(index):252 changePosTimer tick:53:23:81
(index):252 changePosTimer tick:53:23:181
(index):252 changePosTimer tick:53:23:281
(index):252 changePosTimer tick:53:23:381
(index):252 changePosTimer tick:53:23:481
(index):252 changePosTimer tick:53:23:581
(index):252 changePosTimer tick:53:23:681
(index):252 changePosTimer tick:53:23:781
(index):252 changePosTimer tick:53:23:881
(index):252 changePosTimer tick:53:23:981
(index):252 changePosTimer tick:53:24:81
(index):252 changePosTimer tick:53:24:181
(index):252 changePosTimer tick:53:24:281
(index):252 changePosTimer tick:53:24:381
(index):252 changePosTimer tick:53:24:481
(index):252 changePosTimer tick:53:24:581
(index):252 changePosTimer tick:53:24:682
(index):252 changePosTimer tick:53:24:782
(index):252 changePosTimer tick:53:24:881
(index):252 changePosTimer tick:53:24:981
(index):252 changePosTimer tick:53:25:81
(index):252 changePosTimer tick:53:25:181
(index):252 changePosTimer tick:53:25:281
(index):252 changePosTimer tick:53:25:381
(index):252 changePosTimer tick:53:25:481
(index):252 changePosTimer tick:53:25:581
(index):252 changePosTimer tick:53:25:681
(index):252 changePosTimer tick:53:25:781
(index):252 changePosTimer tick:53:25:881
(index):252 changePosTimer tick:53:25:981
(index):252 changePosTimer tick:53:26:81
(index):252 changePosTimer tick:53:26:181
(index):252 changePosTimer tick:53:26:281
(index):252 changePosTimer tick:53:26:381
(index):252 changePosTimer tick:53:26:481
(index):252 changePosTimer tick:53:26:581
(index):252 changePosTimer tick:53:26:681
(index):252 changePosTimer tick:53:26:781
(index):252 changePosTimer tick:53:26:881
(index):252 changePosTimer tick:53:26:981
(index):252 changePosTimer tick:53:27:81
(index):252 changePosTimer tick:53:27:181
(index):252 changePosTimer tick:53:27:281
(index):252 changePosTimer tick:53:27:381
(index):252 changePosTimer tick:53:27:481
(index):252 changePosTimer tick:53:27:581
(index):252 changePosTimer tick:53:27:681
(index):252 changePosTimer tick:53:27:781
(index):252 changePosTimer tick:53:27:881
(index):252 changePosTimer tick:53:27:980
(index):252 changePosTimer tick:53:28:81
(index):286 2--rotateTimer ontick:53:28:81:209.73
(index):252 changePosTimer tick:53:28:181
(index):252 changePosTimer tick:53:28:281
(index):252 changePosTimer tick:53:28:381
(index):252 changePosTimer tick:53:28:481
(index):252 changePosTimer tick:53:28:581
(index):252 changePosTimer tick:53:28:681
(index):252 changePosTimer tick:53:28:781
(index):252 changePosTimer tick:53:28:881
(index):252 changePosTimer tick:53:28:981
(index):252 changePosTimer tick:53:29:81
(index):252 changePosTimer tick:53:29:181
(index):252 changePosTimer tick:53:29:281
(index):252 changePosTimer tick:53:29:381
(index):252 changePosTimer tick:53:29:481
(index):252 changePosTimer tick:53:29:581
(index):252 changePosTimer tick:53:29:681
(index):252 changePosTimer tick:53:29:780
(index):252 changePosTimer tick:53:29:881
(index):252 changePosTimer tick:53:29:981
(index):252 changePosTimer tick:53:30:81
(index):252 changePosTimer tick:53:30:180
(index):252 changePosTimer tick:53:30:280
(index):252 changePosTimer tick:53:30:381
(index):252 changePosTimer tick:53:30:481
(index):252 changePosTimer tick:53:30:581
(index):252 changePosTimer tick:53:30:680
(index):252 changePosTimer tick:53:30:780
(index):252 changePosTimer tick:53:30:880
(index):252 changePosTimer tick:53:30:980
(index):252 changePosTimer tick:53:31:80
(index):252 changePosTimer tick:53:31:180
(index):252 changePosTimer tick:53:31:280
(index):252 changePosTimer tick:53:31:381
(index):252 changePosTimer tick:53:31:480
(index):252 changePosTimer tick:53:31:581
(index):252 changePosTimer tick:53:31:680
(index):252 changePosTimer tick:53:31:780
(index):252 changePosTimer tick:53:31:880
(index):252 changePosTimer tick:53:31:980
(index):252 changePosTimer tick:53:32:80
(index):252 changePosTimer tick:53:32:180
(index):252 changePosTimer tick:53:32:281
(index):252 changePosTimer tick:53:32:380
(index):252 changePosTimer tick:53:32:481
(index):252 changePosTimer tick:53:32:580
(index):252 changePosTimer tick:53:32:680
(index):252 changePosTimer tick:53:32:780
(index):252 changePosTimer tick:53:32:880
(index):252 changePosTimer tick:53:32:980
(index):252 changePosTimer tick:53:33:80
(index):326 1--adjustRotateTimer ontick:53:33:81:-209.73
(index):252 changePosTimer tick:53:33:180
(index):252 changePosTimer tick:53:33:280
(index):252 changePosTimer tick:53:33:380
(index):252 changePosTimer tick:53:33:480
(index):252 changePosTimer tick:53:33:581
(index):252 changePosTimer tick:53:33:680
(index):252 changePosTimer tick:53:33:780
(index):252 changePosTimer tick:53:33:880
(index):252 changePosTimer tick:53:33:980
(index):252 changePosTimer tick:53:34:80
(index):286 3--rotateTimer ontick:53:34:81:29.73
(index):252 changePosTimer tick:53:34:180
(index):252 changePosTimer tick:53:34:280
(index):252 changePosTimer tick:53:34:380
(index):252 changePosTimer tick:53:34:480
(index):252 changePosTimer tick:53:34:581
(index):252 changePosTimer tick:53:34:680
(index):252 changePosTimer tick:53:34:780
(index):252 changePosTimer tick:53:34:880
(index):252 changePosTimer tick:53:34:980
(index):252 changePosTimer tick:53:35:80
(index):252 changePosTimer tick:53:35:180
(index):252 changePosTimer tick:53:35:280
(index):252 changePosTimer tick:53:35:380
(index):252 changePosTimer tick:53:35:480
(index):252 changePosTimer tick:53:35:581
(index):252 changePosTimer tick:53:35:680
(index):252 changePosTimer tick:53:35:780
(index):252 changePosTimer tick:53:35:880
(index):252 changePosTimer tick:53:35:980
(index):252 changePosTimer tick:53:36:80
(index):252 changePosTimer tick:53:36:180
(index):252 changePosTimer tick:53:36:280
(index):252 changePosTimer tick:53:36:380
(index):252 changePosTimer tick:53:36:480
(index):252 changePosTimer tick:53:36:580
(index):252 changePosTimer tick:53:36:680
(index):252 changePosTimer tick:53:36:780
(index):252 changePosTimer tick:53:36:880
(index):252 changePosTimer tick:53:36:980
(index):252 changePosTimer tick:53:37:80
(index):252 changePosTimer tick:53:37:180
(index):252 changePosTimer tick:53:37:280
(index):252 changePosTimer tick:53:37:382
(index):252 changePosTimer tick:53:37:480
(index):252 changePosTimer tick:53:37:581
