(index):305 0--rotateTimer onstart:28:27:890:0.00
(index):286 2--rotateTimer ontick:28:33:891:209.73
(index):326 1--adjustRotateTimer ontick:28:38:892:-209.73
(index):286 3--rotateTimer ontick:28:39:891:29.73
(index):326 2--adjustRotateTimer ontick:28:44:892:-29.73
(index):286 4--rotateTimer ontick:28:45:890:0.00
(index):326 3--adjustRotateTimer ontick:28:50:892:0
(index):286 5--rotateTimer ontick:28:51:889:68.36
(index):326 4--adjustRotateTimer ontick:28:56:891:-68.36
(index):286 6--rotateTimer ontick:28:57:889:-185.47
(index):326 5--adjustRotateTimer ontick:29:2:891:185.47
(index):286 7--rotateTimer ontick:29:3:889:-44.83
(index):326 6--adjustRotateTimer ontick:29:8:891:44.83
(index):286 8--rotateTimer ontick:29:9:889:260.36
(index):326 7--adjustRotateTimer ontick:29:14:890:-260.36
(index):286 9--rotateTimer ontick:29:15:889:224.83
(index):326 8--adjustRotateTimer ontick:29:20:890:-224.83
(index):286 10--rotateTimer ontick:29:21:888:379.29
(index):326 9--adjustRotateTimer ontick:29:26:890:-379.29
(index):286 11--rotateTimer ontick:29:27:888:0.00
(index):326 10--adjustRotateTimer ontick:29:32:890:0
